date,operation_type,store_code,department,quantity
4/29/2021,SALE,400000029597,Dep2,1
4/29/2021,SALE,400000006444,Dep1,1
4/29/2021,SALE,400000021287,Dep1,1
4/29/2021,SALE,400000031460,Dep1,1
4/29/2021,SALE,400000038131,Dep2,1
4/29/2021,SALE,400000038100,Dep2,1
4/29/2021,SALE,400000035123,Dep2,1
4/29/2021,SALE,400000034911,Dep2,1
4/29/2021,SALE,400000035116,Dep2,1
4/29/2021,SALE,400000035147,Dep2,1
4/29/2021,SALE,400000034881,Dep2,1
4/29/2021,SALE,400000030678,Dep2,1
4/29/2021,SALE,400000031781,Dep2,1
4/29/2021,SALE,400000017297,Dep2,1
4/29/2021,SALE,400000038131,Dep2,1
4/29/2021,SALE,400000035147,Dep2,1
4/29/2021,SALE,400000033648,Dep2,2
4/29/2021,SALE,400000035642,Dep2,1
4/28/2021,SALE,400000038452,Dep18,1
4/28/2021,SALE,400000032337,Dep2,1
4/28/2021,SALE,400000036212,Dep2,1
4/28/2021,SALE,400000032139,Dep2,1
4/28/2021,SALE,400000016467,Dep12,1
4/28/2021,SALE,400000038827,Dep1,2
4/28/2021,SALE,400000038834,Dep1,2
4/28/2021,SALE,400000038599,Dep2,1
4/28/2021,SALE,400000031774,Dep2,1
4/28/2021,SALE,400000035901,Dep1,1
4/28/2021,SALE,400000012070,Dep1,1
4/28/2021,SALE,400000024493,Dep1,1
4/28/2021,SALE,400000011103,Dep1,1
4/28/2021,SALE,400000032078,Dep2,1
4/28/2021,SALE,400000038131,Dep2,1
4/28/2021,SALE,400000024486,Dep5,1
4/28/2021,SALE,400000038124,Dep2,1
4/28/2021,SALE,400000027425,Dep5,1
4/28/2021,SALE,400000031620,Dep16,1
4/28/2021,SALE,400000016733,Dep1,2
4/28/2021,SALE,400000035475,Dep19,1
4/28/2021,SALE,400000033594,Dep5,1
4/28/2021,SALE,400000011417,Dep3,1
4/28/2021,SALE,400000038827,Dep1,1
4/28/2021,SALE,400000038834,Dep1,1
4/28/2021,SALE,400000005218,Dep1,1
4/28/2021,SALE,400000000503,Dep1,1
4/28/2021,SALE,400000036618,Dep2,1
4/28/2021,SALE,400000036885,Dep2,1
4/28/2021,SALE,400000027067,Dep3,1
4/28/2021,SALE,400000018850,Dep1,6
4/28/2021,SALE,400000018713,Dep1,1
4/28/2021,SALE,400000033198,Dep10,1
4/28/2021,SALE,400000004853,Dep1,1
4/28/2021,SALE,400000023960,Dep1,1
4/28/2021,SALE,400000037783,Dep5,1
4/28/2021,SALE,400000030869,Dep2,1
4/28/2021,SALE,400000034904,Dep2,1
4/28/2021,SALE,400000035918,Dep2,1
4/28/2021,SALE,400000026794,Dep15,1
4/28/2021,SALE,400000008912,Dep5,1
4/28/2021,SALE,400000028972,Dep1,3
4/28/2021,SALE,400000028996,Dep1,1
4/28/2021,SALE,400000012018,Dep5,1
4/28/2021,SALE,400000035659,Dep2,1
4/28/2021,SALE,400000032924,Dep2,1
4/28/2021,SALE,400000024493,Dep1,1
4/28/2021,SALE,400000013299,Dep1,1
4/28/2021,SALE,400000036830,Dep1,1
4/28/2021,SALE,400000038094,Dep5,2
4/28/2021,SALE,400000006253,Dep1,2
4/28/2021,SALE,400000011189,Dep1,1
4/28/2021,SALE,400000023335,Dep5,1
4/28/2021,SALE,400000034133,Dep9,1
4/28/2021,SALE,400000026022,Dep1,2
4/28/2021,SALE,400000035314,Dep10,1
4/28/2021,SALE,400000035918,Dep2,1
4/28/2021,SALE,400000031729,Dep9,1
4/28/2021,SALE,400000031774,Dep2,1
4/28/2021,SALE,400000014128,Dep1,1
4/28/2021,SALE,400000036670,Dep2,1
4/28/2021,SALE,400000032795,Dep2,1
4/28/2021,SALE,400000016481,Dep12,1
4/28/2021,SALE,400000034874,Dep2,1
4/28/2021,SALE,400000038643,Dep10,2
4/28/2021,SALE,400000036687,Dep2,1
4/28/2021,SALE,400000034959,Dep2,1
4/28/2021,SALE,400000035512,Dep2,1
4/28/2021,SALE,400000017655,Dep3,1
4/28/2021,SALE,400000037905,Dep3,1
4/28/2021,SALE,400000035123,Dep2,1
4/28/2021,SALE,400000009384,Dep1,2
4/28/2021,SALE,400000002439,Dep1,1
4/28/2021,SALE,400000005492,Dep1,1
4/28/2021,SALE,400000003269,Dep1,1
4/28/2021,SALE,400000037387,Dep2,1
4/28/2021,SALE,400000038131,Dep2,1
4/28/2021,SALE,400000035147,Dep2,1
4/28/2021,SALE,400000038100,Dep2,1
4/28/2021,SALE,400000036687,Dep2,1
4/28/2021,SALE,400000032849,Dep2,1
4/28/2021,SALE,400000034881,Dep2,1
4/28/2021,SALE,400000030074,Dep2,1
4/28/2021,SALE,400000001890,Dep1,3
4/28/2021,SALE,400000031811,Dep2,1
4/28/2021,SALE,400000000909,Dep1,1
4/28/2021,SALE,400000006253,Dep1,1
4/28/2021,SALE,400000000893,Dep1,1
4/28/2021,SALE,400000036922,Dep10,1
4/28/2021,SALE,400000036915,Dep10,1
4/28/2021,SALE,400000036625,Dep2,1
